,period,ticker1,ticker2,cosine_similarity,rho_mean
0,2019Q1,KO,PEP,0.2313076171851018,0.614160736660543
1,2019Q2,KO,PEP,0.2532592142878771,0.6288223937486105
2,2019Q3,KO,PEP,0.2418471490831368,0.6859170952564323
3,2019Q4,KO,PEP,0.2959623345402584,0.7558404886788472
4,2020Q1,KO,PEP,0.2312349682780232,0.7724936126452259
5,2020Q2,KO,PEP,0.4361131207682362,0.6728581884617667
6,2020Q3,KO,PEP,0.4552145013438654,0.7165226470097291
7,2020Q4,KO,PEP,0.2392857254030282,0.5478173729237223
8,2021Q1,KO,PEP,0.68595801738381,0.6480328816409192
9,2021Q2,KO,PEP,0.685915719830237,0.7478494184708838
10,2021Q3,KO,PEP,0.6791649015666541,0.7510768282532001
11,2021Q4,KO,PEP,0.6841282869313504,0.7113304412126711
12,2022Q1,KO,PEP,0.6526423601069815,0.6777418462079595
13,2022Q2,KO,PEP,0.6871561533952971,0.894193122959673
14,2022Q3,KO,PEP,0.6618623570849522,0.8900641136992956
15,2022Q4,KO,PEP,0.6671565987771652,0.8006617086330219
16,2023Q1,KO,PEP,0.704626871328532,0.803228544313344
17,2023Q2,KO,PEP,0.6573496146333545,0.6955590887279833
18,2023Q3,KO,PEP,0.6855280189178926,0.696826342627752
19,2023Q4,KO,PEP,0.6556439677709389,0.8026348305651473
20,2024Q1,KO,PEP,0.6742218166945334,0.6883977044901451
21,2024Q2,KO,PEP,0.6734369352166673,0.5896701339825762
22,2024Q4,KO,PEP,0.6952441664587476,0.4479288346817704
23,2025Q1,KO,PEP,0.7156788817440161,0.7007651272079393
24,2025Q2,KO,PEP,0.6855024078708882,0.6570890392591363
25,2025Q3,KO,PEP,0.5768659489619653,0.5817904520282159
