,period,ticker1,ticker2,cosine_similarity,rho_mean
0,2019Q1,KO,PEP,0.2313076171851018,0.6239799388093018
1,2019Q2,KO,PEP,0.2532592142878771,0.7161825697401057
2,2019Q3,KO,PEP,0.2418471490831368,0.7591439215671327
3,2019Q4,KO,PEP,0.2959623345402584,0.6922694828549187
4,2020Q1,KO,PEP,0.2312349682780232,0.7736624957846343
5,2020Q2,KO,PEP,0.4361131207682362,0.6221452388676594
6,2020Q3,KO,PEP,0.4552145013438654,0.6594453021852478
7,2020Q4,KO,PEP,0.2392857254030282,0.5505120205381603
8,2021Q1,KO,PEP,0.68595801738381,0.5939418634089864
9,2021Q2,KO,PEP,0.685915719830237,0.7027804927716479
10,2021Q3,KO,PEP,0.6791649015666541,0.7670712226433891
11,2021Q4,KO,PEP,0.6841282869313504,0.6652441851598498
12,2022Q1,KO,PEP,0.6526423601069815,0.6076041461715882
13,2022Q2,KO,PEP,0.6871561533952971,0.8815636466778659
14,2022Q3,KO,PEP,0.6618623570849522,0.8906273409751909
15,2022Q4,KO,PEP,0.6671565987771652,0.8062940351574004
16,2023Q1,KO,PEP,0.704626871328532,0.8128793291576139
17,2023Q2,KO,PEP,0.6573496146333545,0.6641462057313968
18,2023Q3,KO,PEP,0.6855280189178926,0.6989031267335379
19,2023Q4,KO,PEP,0.6556439677709389,0.7948065954441371
20,2024Q1,KO,PEP,0.6742218166945334,0.6622569603230165
21,2024Q2,KO,PEP,0.6734369352166673,0.630042159454171
22,2024Q4,KO,PEP,0.6952441664587476,0.5634968847316103
23,2025Q1,KO,PEP,0.7156788817440161,0.7503409476569162
24,2025Q2,KO,PEP,0.6855024078708882,0.592378668029918
25,2025Q3,KO,PEP,0.5768659489619653,0.5943985964171264
